productId,name,description,price,stock,category,created_at
39,Philips Hue White Bulbs,"Smart LED bulbs with Bluetooth control.",39.99,70,Home,2025-06-15 11:10:29
40,Keurig K-Classic Coffee Maker,"Single serve coffee brewer.",89,60,Home,2025-06-15 11:10:29
41,Levi's 511 Slim Fit Jeans,"Modern cut denim jeans.",59.99,90,Clothing,2025-06-15 11:10:29
42,Hanes Tagless T-Shirt (5 Pack),"Comfortable cotton t-shirts.",24.99,200,Clothing,2025-06-15 11:10:29
43,Columbia Men's Jacket,"Lightweight, water-resistant jacket.",89,50,Clothing,2025-06-15 11:10:29
44,Champion Hoodie,"Soft cotton hoodie for everyday wear.",44.99,70,Clothing,2025-06-15 11:10:29
45,Adidas Track Pants,"Athletic pants with 3-stripe design.",49.99,80,Clothing,2025-06-15 11:10:29
46,Fitbit Charge 5,"Health & fitness tracker with heart rate.",149,30,Sports,2025-06-15 11:10:29
47,Under Armour Gym Bag,"Duffel bag with large storage.",39.99,60,Sports,2025-06-15 11:10:29
48,Gaiam Yoga Mat,"Non-slip, extra thick yoga mat.",29.95,70,Sports,2025-06-15 11:10:29
49,Speedo Swim Goggles,"Anti-fog, UV protected goggles.",15.99,100,Sports,2025-06-15 11:10:29
50,Bowflex Dumbbells,"Adjustable weight dumbbells (pair).",399,15,Sports,2025-06-15 11:10:29
51,ASUS ROG Gaming Laptop,"High-performance laptop for gaming.",1599,12,Electronics,2025-06-15 11:10:29
52,Canon EOS Rebel T7,"DSLR camera with 18-55mm lens.",479,20,Electronics,2025-06-15 11:10:29
53,Garmin GPS Navigator,"Touchscreen GPS for cars.",129.99,30,Electronics,2025-06-15 11:10:29
54,WD 2TB External HDD,"Portable hard drive with USB 3.0.",64.99,45,Electronics,2025-06-15 11:10:29
55,Samsung 32” Smart TV,"1080p Full HD LED Smart TV.",198,25,Electronics,2025-06-15 11:10:29
56,Atomic Habits,"A guide to building good habits and breaking bad ones.",16.99,50,Books,2025-06-18 20:33:20
57,Clean Code,"A Handbook of Agile Software Craftsmanship by Robert C. Martin.",34.95,30,Books,2025-06-18 20:33:20
58,Levi's Jeans,"Classic straight-fit denim jeans.",59.99,25,Fashion,2025-06-18 20:33:20
59,Adidas Hoodie,"Comfortable hoodie for everyday wear.",49.99,40,Fashion,2025-06-18 20:33:20
60,Lego Classic Set,"A large box of colorful building blocks.",29.99,35,Toys,2025-06-18 20:33:20
61,Barbie Dreamhouse,"A three-story dollhouse with furniture.",199.99,10,Toys,2025-06-18 20:33:20
62,Amazon Gift Card - $50,"Digital gift card redeemable at Amazon.",50,100,Gift Cards,2025-06-18 20:33:20
63,Steam Gift Card - $20,"Great for gamers to buy games on Steam.",20,100,Gift Cards,2025-06-18 20:33:20
